capacitor_storage	capacitor:sanXAriwra storage:BaNdAraNa
card_chassis	card:pawraka chassis:nyAXAra
card_code	card:pawraka code:kUta
card_column	card:pawraka column:swamBa
card_cycle	card:pawraka cycle:cakra
card_field	card:pawraka field:kRewra
card_form	card:pawraka form:rUpa
card_image	card:pawraka image:prawibiMba
card_input	card:pawraka input:niveSa
card_loader	card:pawraka loader:BAraka
card_pack	card:pawraka pack:gaddI
card_path	card:pawraka path:paWa
card_row	card:pawraka row:pafkwi
card_set	card:pawraka set:samuccaya
card_storage	card:pawraka storage:BaNdAraNa
card_track	card:pawraka track:paWa
carriage_control_character	carriage:vAhana control:niyanwraNa character:samprawIka character:samprawIka
carriage_control_tape	carriage:vAhana control:niyanwraNa tape:tepa
carriage_return	carriage:vAhana return:vApasI
carriage_return_character	carriage:vAhana return:vApasI character:samprawIka character:samprawIka
carrier_return_character	carrier:vAhaka return:vApasI character:samprawIka character:samprawIka
carrier_signal	carrier:vAhaka signal:safkewa
carrier_system	carrier:vAhaka system:wanwra
carrier_wave	carrier:vAhaka wave:warafga
carry_complete_signal	carry:haswafgawa complete:pUrNa signal:safkewa
carry_digit	carry:haswafgawa digit:afka
carry_flag	carry:haswafgawa flag:Xvaja
carry_time	carry:haswafgawa time:kAla
catalogue_directory	catalogue:sUcI directory:nirxeSikA
center_line	center:keMxra line:reKA
central_control_unit	central:keMxrIya control:niyanwraNa unit:ekaka
centralised_automatic_message_accounting	centralised:keMxrIkqwa automatic:svacAliwa message:sanxeSa accounting:leKA
central_memory	central:keMxrIya memory:smqwi
central_office	central:keMxrIya office:kAryAlaya
central_office_code	central:keMxrIya office:kAryAlaya code:kUta
central_office_work_order	central:keMxrIya office:kArya work:kArya order:AxeSa
central_processing_unit	central:keMxrIya processing:saMsAXana unit:ekaka
central_processing_unit_loop	central:keMxrIya processing:saMsAXana unit:ekaka loop:pASa
central_office_work_order	central:keMxrIya office:kArya work:kArya order:AxeSa
chain_code	chain:SqfKalA code:kUta
chaining_search	chaining:SqfKalana search:Koja
chain_link	chain:SqfKalA link:SqfKalA
chain_maintenance_program	chain:SqfKalA maintenance:anurakRaNa program:kramAxeSa program:kramAxeSa
change_character	change:parivarwana character:samprawIka character:samprawIka
change_dump	change:parivarwana dump:sannikRepa
change_sign	change:parivarwana sign:cihna
change_tape	change:parivarwana tape:tepa
channel_adapter	channel:praNAla adapter:anukUliwra
channel_address_word	channel:praNAla address:pawA word:Sabxa
channel_bank	channel:praNAla bank:bEMka
channel_capacity	channel:praNAla capacity:kRamawA
channel_command	channel:praNAla command:samAxeSa
channel_command_word	channel:praNAla command:samAxeSa word:Sabxa
channel_controller	channel:praNAla controller:niyanwraka
channel_control_word	channel:praNAla control:niyanwraNa word:Sabxa
channel_data	channel:praNAla data:Azkade
channel_end	channel:praNAla end:sirA
channel_mask	channel:praNAla mask:AcCaxa
channel_program	channel:praNAla program:kramAxeSa program:kramAxeSa
channel_program_translation	channel:praNAla program:kramAxeSa program:kramAxeSa translation:anuvAxa
channel_queue	channel:praNAla queue:pafkwi
channel_reliability	channel:praNAla reliability:viSvasanIyawA
channel_service_unit	channel:praNAla service:sevA unit:ekaka
channel_set	channel:praNAla set:samuccaya
character_addressing	character:samprawIka character:samprawIka addressing:pawABigamana
character_assembly	character:samprawIka character:samprawIka assembly:kodAnwaraNa
character_boundary	character:samprawIka character:samprawIka boundary:parisImA
character_cell	character:samprawIka character:samprawIka cell:koRTikA
character_check	character:samprawIka character:samprawIka check:jAzca
character_code	character:samprawIka character:samprawIka code:kUta
character_crowding	character:samprawIka character:samprawIka crowding:aXisafKyana
character_density	character:samprawIka character:samprawIka density:saGanawA
character_device_control	character:samprawIka character:samprawIka device:yukwi control:niyanwraNa
character_edge	character:samprawIka character:samprawIka edge:kora
character_element	character:samprawIka character:samprawIka element:avayava
character_format_memory	character:samprawIka character:samprawIka format:saMrUpa memory:smqwi
character_instruction	character:samprawIka character:samprawIka instruction:anuxeSa
characteristic_impedence	characteristic:aBilakRaNika impedence:prawibAXA
character_key	character:samprawIka character:samprawIka key:kuFjI
character_outline	character:samprawIka character:samprawIka outline:rUpareKA
character_position	character:sWiwi character:samprawIka position:sWiwi
character_relation	character:samprawIka character:samprawIka relation:sambanXa
character_row	character:samprawIka character:samprawIka row:pafkwi
character_set	character:samprawIka character:samprawIka set:samuccaya
